"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.43872644195252, 18.835900740602234"	1177	"Kompozicija Njeguši"	"Desanka"	"Šaban"		"ulje na platnu"	"50x67"	"NMCG"		"Geoculture"	"Pejzaž od kojeg polazi sveden je na površine koje se ritmično smjenjuju. Prozračnost planinske kompozicije nadgrađena je tamnom konturom. Kolorit varira od intenzivnih narandžastih, crvenih, zelenih i plavih tonova koji kompoziciji daju jednu dozu uskovitlanosti i ekspresivnosti."		"Desanka Šaban; Njeguši"				
"42.77447965984916, 18.942085435421298"	1178	"Onogošt"	"Ilija "	"Šobajić"	1938	"olovka na papiru"	"49,5x35"	"NMCG"		"Geoculture"	"Centralni motiv je tvrđava sagledana izbliza."		"Ilija Šobajić; Nikšić"				
"42.54680816344827, 18.712576014176367"	1179	"Grkavac"	"Luka"	"Stanković"	1951	"olovka na papiru"	"33,3x46,5"	"NMCG"		"Geoculture"	"Minuciozno prikazana grupa od nekoliko kuća u podnožju brda na kojem se raspoznaju ostaci tvrđave. Gusto zbijenim, slobodnim potezima olovke kontrolisanog intenziteta sugerisana je struktura kamenog pejzaža, a odnosom osvjetljenih i partija u sjenci dočarana svjetlost koja obavija predstavu."		"Luka Stanković; Risan"				
"42.450191259149015, 18.50098684778167"	1180	"Igalo"	"Savo"	"Vujović"	1948	"tempera na papiru"	"39x50"	"NMCG"		"Geoculture"	"Pogled na priobalje u kombinaciji gustog zelenila i morskog plavenitla realizovan je svedenim koloritom (zeleni, oker, zemljani tonovi, modro-plavi naglasci). Predio je definisan mekim, rasterećenim  nanosima koji grade strukturu bez agresivnosti, odišući mirom i kontemplacijom nad predjelom.

"	"Njegove slike i crteži najčešće prikazuju sakralne komplekse (Savina, Morača, Ostrog), kamene kuće, masline i obale, ali na način koji prevazilazi puko dokumentovanje. Prostor je kod njega stilizovan: volumen se svodi na jasne geometrijske oblike, boje su prigušene, tople i harmonične, a kompozicije mirne i zatvorene."	"Savo Vujović; Herceg Novi"				
"42.38407730619774, 18.921674303170803"	1181	"Gruda"	"Savo"	"Vujović"	1937	"ulje na kartonu"	"27,2x35,3"	"NMCG"		"Geoculture"	"Skoro apstraktna kompozicija koja prikazuje manje uzvišenje sa nekoliko jedva vidljivih kuća uklopljenih u gusto rastinje. Kolorit je okre-zeleni, prozračan i svjetao."		"Savo Vujović; Cetinje"				
"42.45198510043895, 18.5561173231376"	1182	"Savina"	"Savo"	"Vujović"	1948	"tempera na platnu"	"36x42"	"NMCG"		"Geoculture"	"Pogled na zaliv kojim dominira gusto zelenilo i nekoliko terasasto raspoređenih kuća. Slojevitost kompozicije definisana je dijagonalnim planovima i bojenim poljima uglavnom zelenih i plavo-sivih tonova."		"Savo Vujović; Herceg Novi"				
"42.387335775379654, 18.92376726141485"	1183	"Biljarda"	"Miloš"	"Vušković"	1956	"ulje na lesonitu"	"25x39"	"NMCG"		"Geoculture"	"Forma Bilijarde je i dalje prepoznatljiva, ali je prikazana iz dinamičnijeg ugla, s blažom deformacijom perspektive i kraćim, nemirnijim potezima kista. Koloristički je rad življi – pojavljuju se svjetliji tonovi, naročito plava i oker, dok su kontrasti izraženiji, a potez je sigurniji.
Prisutna je dinamika svjetla i sjenke, pokret oblaka ili vegetacije u pozadini, što prizoru daje osjećaj prolaznosti. 		"	"Dvije slike Bilijarde Miloša Vuškovića iz 1953. i 1956. godine predstavljaju primjer višestruke interpretacije istog motiva - rezidencijalnog kompleksa vladike i pjesnika Petra II Petrovića Njegoša na Cetinju. Iako je motiv naizgled isti, način obrade, atmosfera i likovni jezik u ova dva rada otkrivaju duboke razlike u pristupu i razvojni tok Vuškovićevog slikarstva sredinom 20. vijeka."	"Miloš Vušković; Cetinje"				
	1184	"Budva"	"Miloš"	"Vušković"	1958	"ulje na lesonitu"	"40x87,5"	"NMCG"		"Geoculture"	"Pogled na stari grad Budvu iz pozicije s obale ili uzvišenja, gdje se u prvom planu nalaze obrisi bedema, a iza njih izranjaju crkveni tornjevi, kamene kuće i siluete karakteristične mediteranske arhitekture.  Rad je sveden, ali ima atmosferu – dominiraju terakota, siva, maslinasta i prigušeno plava, što ističe osjećaj harmonije. Sve je oblikovano širokim potezima kista, uz pažljivo doziranu paletu,  sa akcentima svijetlijih boja u detaljima arhitekture ili neba."	"Slika Budva Miloša Vuškovića, predstavlja jedan od karakterističnih primjera njegove zrele slikarske faze, u kojoj se ogleda modernistička redukcija forme. Način na koji su slojevi boje naneseni – relativno tanko, omogućava prozračnost i podstiče osjećaj meke svjetlosti koja obavija predio. Kompozicija je sažeta, gotovo arhitektonska – prostor je organizovan jasnim planovima i struktuiran ritmom vertikala i horizontalnih linija. 
Kao rođeni Cetinjanin i dugogodišnji profesor i kulturni radnik u Crnoj Gori, Vušković je bio duboko vezan za mediteranski prostor. "	"Miloš Vušković; Budva"				
"42.45269167784876, 18.5432762895462"	1185	"Herceg Novi"	"Miloš"	"Vušković"	1930	"ulje na platnu"	"62,3x115"	"NMCG"		"Geoculture"	"Kompozicija predstavlja pogled na urbani dio grada, sa nekoliko kuća u prvom planu uronjenih u zelenilo i zgusnutim kućama i plavičastim brdom u pozadini. Dominiraju svjetle kamene fasade koje stvaraju utisak snažne svjetlosti koja obavija predstavu i rastinje koje balansira mnoštvo svjetlih masa kamena."		"Miloš Vušković; Herceg Novi"				
"42.451754973615095, 18.534888366956842"	1186	"Herceg Novi"	"Miloš"	"Vušković"	1952	"ulje na presovanom kartonu"	"57,5x73,5"	"NMCG"		"Geoculture"	"Na ovom pogledu na Herceg Novi autor gradi kompoziciju širokim, pastuoznim potezima i zasićenim koloritom, zadržavajući prepoznatljivu topografiju grada i ritam krovova. Iako je izraz već izrazito ekspresivan, scena je još uvijek čvrsto realistična, prije nego što će se u njegovom kasnijem radu razviti prema potpunijoj apstrakciji."		"Miloš Vušković; Herceg Novi"				
	1187	"Cetinje "	"Miloš"	"Vušković"	1959	"ulje na lesonitu"	"81,7x94"	"NMCG"		"Geoculture"	"Apstraktna kompozicija sa karakterističnim, iznijansiranim Vuškovićevim plavim tonovima koji predstavljaju brda. U centralnom dijelu kompozicije su izrazito svjetle, pravougaone forme sa crvenim akcentima koje simbolizuju grad."		"Miloš Vušković; Cetinje"				
"42.439594198296845, 19.25904818706588
"	1188	"Podgorica"	"Robert"	"Lenard"	1918	"olovka na papiru"	"26x26,5"	"NMCG"		"Geoculture"	"Crtež bilježi svakodnevni prizor Podgorice u vremenu Austrougarske okupacije, sa naglaskom na kretanje ljudi i improvizovanu urbanost prostora. Brza linija i skicirana perspektiva sugerišu autorovu namjeru da zabilježi situaciju na licu mjesta, više kao svjedočanstvo vremena nego kao dovršenu umjetničku interpretaciju."		"Robert Lenard; Podgorica"				
"42.387019220628865, 18.92182460444357"	1189	"Vladika Danilo pred Cetinjskim manastirom"	"Pero "	"Poček"		"ulje na šperploči"	"37,3x50"	"NMCG"		"Geoculture"	"Ilustracija jedne od scena iz ""Gorskog vijenca"". Izrazito tamna kompozicija sa figurom Vladike Danila datom u gustom nanosu kako sjedi ispred Cetinjskog manastira, dok oko njega spavaju Crnogorci. Scena sugeriše duboku vladičinu kontemplaciju. Prednjim dijelom dominiraju tamni, slojeviti nanosi iz registra sivih i teget, dok je manastir realizovan prozračno i lazurno u pastelnim tonovima. Obasjan je intenzivnom svjetlošču dok se ispred objekta mogu nazreti ljudi. "		"Pero Poček; Cetinje"				
"42.42463073334795, 18.799904252047284"	1190	"Njegoš sa pratnjom na prevoju Krstac"	"August"	"Orou"	1839	"akvarel na papiru"	"52,8x69,2"	"NMCG"		"Geoculture"	"Predstava Petra II Petrovića Njegoša kako u društvu nekoliko perjanika šeta predjelom podno Lovćena. Odjeveni su u elegantnu nošnju, dok se u pozadini razaznaje objekat i nekoliko figura. Kompozicija je upotpunjena sa četiri scene koje ilustruju život stanovnika okolnjih mjesta i osobama u tradicionalnim nošnjama."	"Djelo je naslikao autrijski kadet, koji je službovao u Crnoj Gori. "	"Lovćen"				
"42.25649118884894, 18.895489379013775"	1191	"Sveti Stefan"	"Sreten"	"Stojanović"		"akvarel na papiru"	"24,3x33,8"	"Prijestonica Cetinje/NMCG, Kolekcija Vukmanović"		"Geoculture"	"Apstraktna kompozicija u kojoj je poluostrvo skladno ukomponovano u razbrarušeni prednji plan koji čini rastinje. Nasuprot dinamičnog prvog plana postavljena je glatka površina mora i neba u drugom planu. Kolorit je topao, sačinjen od pastelinih tonova zelene, oranž i plave, stvarajući atmosferu ljetnje toplote."		"Sreten Stojanović; Sveti Stefan"				
"42.43904711716764, 19.257173373793332"	1192	"Sastav Morače i Ribnice"	"Milo"	"Milunović"		"pastel na papiru "	"52,5x62"	"NMCG"		"Geoculture"	"Autor u ovoj brzoj skici koristi netipičan, prigušen kolorit i prozračnu, gotovo rasplinutu liniju kako bi postigao efekat kontra-svjetla. Pejzaž je sveden na ritmove boje i poteza, pri čemu se teren i fragmenti urbane strukture stapaju u jedinstvenu, gotovo meditativnu cjelinu, nagovještavajući njegov kasniji pomak ka većoj apstrakciji."		"Milo Milunović; Podgorica"				
"42.45714752195563, 18.513320505434553"	1193	"Herceg Novi"	"Anastasija "	"Brajović"	1972	"ulje na platnu"	"38x53"	"NMCG"		"Geoculture"	"Autorka u ovom pogledu na Herceg Novi zadržava prepoznatljiv raspored osnovnih urbanih i pejzažnih elemenata, ali ih svodi na široke kolorističke fleke i zgusnute nanose boje. Grad je sugerisan ritmom svijetlih i toplih tonova, bez deskriptivnih detalja, dok se teški oblak koji pritiska padine Orjena u pozadini reflektuje se u tamnoj površini mora. Cjelina djeluje kao sinteza opšte impresije trenutka u kojoj atmosfera i emocionalni naboj imaju prednost nad deskriptivnošću.
"		"Anastasija Brajović; Herceg Novi"				
"42.449815470743566, 18.75198585393847"	1194	"Prčanj"	"Vojislav"	"Đokić"	1950	"ulje na platnu"	"64,5x42"	"NMCG"		"Geoculture"	"Pogled na naselje nad kojim dominira monumentalni Bogorodičin hram. Fasade kuća i rastinja su skladno piramidalno uklopljene u prednji plan, dok se u pozadini uzdižu masivna brda. Čitav kolorit je pastelni, sa naglaskom na snažnoj primorskoj svjetlosti."	"Crkva Rođenja Blažene Djevice Marije  je ujedeno najveća  sakralna građevina u Boki Kotorskoj, sa visinom kupole od 31m a jedna je od najvećih sakralnih građevina na istočnoj obali Jadrana. Izgradnja je počela 1789. rađena je skoro 120 godina. Odlikuje "	"Vojislav Đokić; Prčanj"				
"42.485815459689626, 18.76680435309639"	1195	"Stari mlinovi"	"Mato"	"Đuranović"	1969	"ulje na platnu"	"69x86,5"	"NMCG"		"Geoculture"	"Pogled na zaliv u karakterističnom koloritu Mata Đuranovića. U prvom planu nekoliko stepenasto postavljenih kuća - moguće mlinova, dok centralnim dijelom dominira površina mora. Intenzivne smeđe i zelene nasuprot ujednačene površine vode."	"U Đuranovićevom opusu dominiraju prikazi pejzaža iz njegove neposredne okoline - Kamerana i drugih djelova zaliva."	"Mato Đuranović"				
"42.09434399834079, 19.136266617451298"	1196	"Stari Bar"	"Ljubomir Ljuba"	"Ivanović"	1927	"olovka na papiru"	"36,5x50"	"NMCG"		"Geoculture"	"Pogled na akvadukt i citadelu u Starom Baru, minuciozno izveden različitom gustinom nanosa olovke."	"Stari Bar predstavlja slojevito arheološko i urbanističko nasljeđe čiji počeci sežu još u IX vijek p.n.e, kada se formira kao važno trgovačko i strateško uporište na raskršću mediteranskih i balkanskih puteva. Iako je većina objekata danas sačuvana tek u fragmentima i temeljima, ostaci jasno svjedoče o nekadašnjoj urbanoj gustini i ekonomskoj važnosti naselja. Dominantni vizuelni i simbolički akcenat čini tvrđava iz XI vijeka, dok su od sakralne arhitekture naročito značajne crkve Svete Petke i Svete Katarine iz XIV vijeka. Zbog svoje dramatične topografije, ruševnog karaktera i snažnog istorijskog naboja, Stari Bar je kroz XIX i XX vijek postao čest i prepoznatljiv motiv u likovnoj umjetnosti, posebno u pejzažnom slikarstvu, grafici i putopisnoj ilustraciji."	"Ljuba Ivanović; Bar"				
"42.382800574134016, 18.928835754424846"	1197	"Pogled sa Cetinja na Lovćen"	"Božidar"	"Jakac"	1971	"pastel na papiru "	"47x65"	"NMCG"		"Geoculture"	"Apstraktna kompozicija, horizonalnog gradiranja planova, sa konturama planine Lovćen u pozadini. Kolorit je pastelan od žuto-zelenih do sivo-plavih u službi dočaravanja melanholičnosti predstave."		"Božidar Jakac; Cetinje"				
	1198	"Motiv iz Budve"	"Branko"	"Kovačević"	1945	"akvarel i tempera na papiru"	"40x50,5"	"NMCG"		"Geoculture"	"Rad izveden u akvarelu, tehnikom koja umjetniku omogućava da izrazi prozirnost svjetlosti i mekoću atmosfere. Prikazana je ulica Starog grada, uska i kamena, s ritmom fasada, prozora i vrata koji se nižu u dubinu prostora. U središtu kompozicije dominira igra svjetla i sjenke. Tonovi su suptilni i ujednačeni — topli smeđi, sivi i oker prelaze u svijetle plavičaste i ljubičaste tonove sjenke. "	"Umjetnik koristi karakterističnu tehniku mokro na mokro, čime postiže meke prelaze i fluidnost površine. Akvarel odiše tišinom i prisnošću — nema spektakla vedute, već intimni doživljaj mjesta, gotovo lirskog karaktera."	"Branko Kovačević; Budva"				
"42.38138178738, 18.929656612162027"	1199	"Cetinje sa Lovćenom"	"Vera"	"Lubarda"	1949	"akvarel na papiru"	"17x41"	"NMCG"		"Geoculture"	"Apstraktna kompozicija impresija podlovćenskog kraja. Kolorit je zeleno-smeđi dok se u pozadini izdvaja masivni Lovćenski vrh pod snijegom."		"Vera Lubarda; Cetinje"				
"42.4383544960469, 19.266592062026092"	1200	"Pejzaž sa Ribnice"	"Ljubo"	"Brajović"		"ulje na kartonu"	"50x69,5"	"JU Muzeji i galerije Podgorice"			"Brajovićev rad karakteriše spoj realističke reprezentacije i poetskog ublažavanja forme. Prizor je prepoznatljiv, ali nije dokumentaristički. Preovladavaju ujednačeni, suzdržani tonovi (uglavnom zemljani, zeleni i modri), sa naglaskom na atmosferu umjesto na dramske kontraste."		"Ljubo Brajović; Podgorica"				
	1201	"Ribarsko selo"	"Jovan Jovo"	"Ivanović"		"ulje na platnu"	"74,5x100"	"JU Muzeji i galerije Podgorice"			"Ivanović je poznat po motivima crnogorskih primorskih ambijenata, malih mjesta, starih naselja. Okrenut uglavnom ka apstrakciji i intenzivnom koloritu, motive svodi na osnovne oblike u kojima dominira snažan potez."		"Jovan Jovo Ivanović"				
"42.30332950300035, 18.89861435442839"	1202	"Pejzaž-Kosmač"	"Petar "	"Lubarda"	1956	"ulje na platnu"	"65x80"	"JU Muzeji i galerije Podgorice"			"Kompozicijom dominira snažan, ekspresivan pristup pejzažu, karakterističan za njegov lirsko-ekspresionistički rukopis. Kosmač je prikazan kroz stilizovane oblike brda, kamenih površina i vegetacije kao i  razbacanih formi koje predstavljaju kuće kao  kolorističke akcente. Sam prostor dobija osjećaj volumena i dubine zahvaljujući kontrastima svjetlih i tamnih partija u rasponu od bjelih do tamno plavih."		"Petar Lubarda; Cetinje"				
"42.34780255840395, 19.054049226068003"	1203	"Sa skadarskog jezera"	"Petar "	"Lubarda"		"ulje na platnu"	"99,5x140"	"JU Muzeji i galerije Podgorice"			"Motiv je prikazan kroz monumentalnu, ekspresivnu stilizaciju. Jezero, obala i okolni pejzaž nisu prikazani realistički, već kroz snažne, ritmičke oblike i volumene koji naglašavaju dinamiku i emotivni naboj prostora.
Kompozicija karakteriše dramska upotreba svjetla i sjenke, široki potezi kista i gust nanos boje, što stvara osjećaj monumentalnosti i unutrašnje energije prirode. Tonovi su pastelni, iz registra sivih i plavih, često sa kontrastom tamnih i svijetlih površina."	"Motiv skadarskog jezera česta je tema Lubardinih slika , skica, crteža, gdje polazi od prepoznatljivih formi koje svodi na apstrahovane elemente jedva prepoznatljive.  Struktura pejzaža odražava Lubardinu sposobnost da stvarni motiv transformiše u simbolički i poetski izraz."	"Petar Lubarda; Skadarsko jezero"				
"42.43960968321376, 19.257072511496098"	1204	"Titograd"	"Petar"	"Lubarda"	1963	"ulje na platnu"	"285x430"	"JU Muzeji i galerije Podgorice"			"Grad je redukovan na geometrijske i volumenske elemente: krovovi, ulice i zgrade oblikovani su širokim potezima i jasno definisanim izrazito svjetlim masama.
Koristi intenzivne kontrastne tonove, tople oker, crvene i zemljane boje u kombinaciji sa hladnijim plavim ili sivim površinama, kako bi naglasio volumene i atmosferu.

"	"Monumentalna kompozicija koja predstavlja pogled na grad sa svim prepoznatljivim urbanim punktumima iako nije sasvim ispoštovana vjerodostojnost. Kompozicija više nalikuje nekoj vrsti herojske predstave grada u uzletu. Scena pulsira ritmom ponavljajućih oblika, što daje slikarsku živost i energiju, u kombinaciji realnog i poetskog viđenja."	"Petar Lubarda; Podgorica"				
	1205	"Kamenjar"	"Nikica"	"Raičević"		"ulje na platnu"	"68,5x99,5"	"JU Muzeji i galerije Podgorice"			"Polazi od crnogorskog ambijenta – krševitog reljefa kanjona Cijevne  koji tretira kroz atmosferu. Njegove kompozicijesu realizovane u zemljanim, oker, sivo-plavim i maslinastim nijansama često su naglašene kontrastima intenzivnijih poteza. Svjetlo je jedna od ključnih odrednica."	"Iako polazi od konkretnog pejzaža redukuje ga do apstrakcije i razvija tokom čitave karijere."	"Nikica Raičević; Podgorica"				
"42.27760297646268, 18.834986939581704"	1206	"Budva"	"Filip R."	"Vučković"		"ulje na impregniranom kartonu"	"27x35"	"JU Muzeji i galerije Podgorice"			"Slika prikazuje karakterističan pogled na Stari grad Budvu, izveden u prepoznatljivom lirskom maniru Filipa Vuškovića. Kompozicija je zasnovana na kontrastu toplih kamenih tonova zbijene mediteranske arhitekture i intenzivnog svjetla koje obasjava obalu. Horizont je smiren, more blago treperi, sa uzburkanošću u prvom planu. Rad odiše mediteranskom toplinom i intimnim doživljajem pejzaža, fokusirajući se na svjetlo kao glavni nosilac izraza."		"Filip Vučković; Budva"				
"42.48058347998228, 19.303445442885497"	1207	"Most na Morači"	"Nikola"	"Vujošević"	1972	"ulje na platnu"	"137x110"	"JU Muzeji i galerije Podgorice"			"Prepoznatljivi motiv mosta nad kanjonom Morače u njegovom ranijem, još uvijek jasno figurativnom izrazu. Most je predstavljen jednostavnim, geometrizovanim linijama, skoro stopljen sa strme stijenama oblikovanim u prelomljenim plohama sive, oker sa po nekim bakarnim akcentom."		"Nikola Vujošević"				
"42.43530884718264, 19.260004776946595"	1208	"Stara varoš"	"Nikola"	"Vujošević"		"ulje na kartonu"	"43x72"	"JU Muzeji i galerije Podgorice"			"Rad predstavlja ambijent starog urbanog jezgra kroz snažno stilizovan, modernistički redukovan izraz. Arhitektura Stare varoši – uske ulice, zbijene kuće, dominantne vertikale sat-kule i krovova – nije prikazana deskriptivno, već svedena na geometrijske fragmente, plohe i ritmične linijske strukture.

"	" Vujoševićev rukopis karakterišu jasni grafički naglasci, naglašena teksturalnost i osjećaj taktilnosti — kao da se strukture grada grade slojevima linija i ploha. "	"Nikola Vujošević; Podgorica"				
"42.436424279455764, 19.259637701766113"	1213	"Bez naziva (Stara varoš)"	"Savo"	"Vujović"		"linorez"	"21,5x28,7"	"JU Muzeji i galerije Podgorice"			"U suprotstavljanju svjetlih i tamnih partija realizovan je dio ulice Stare varoši koja prolazi između kuća dok se u pozadini nazire Sahat kula."		"Savo Vujović; Podgorica"				
"42.48798026731533, 18.695319129727732"	1214	"Perast"	"Savo"	"Vujović"		"linorez"	"21x29"	"JU Muzeji i galerije Podgorice"			"Kompoziciju karakteriše smirenost i uravnoteženost: široka površina mora i neba kontrastira zgusnutim, tamnijim strukturama grada, sa prepoznatljivim tačkama. Umjesto detalja, Vujović koristi redukovane linije, meke prelaze i tonalne gradacije kojima prizor poprima lirski, gotovo meditativni karakter.
"	"Pejzaž je definisan oslanjajući se na odnos svjetla i tame umjesto na kolorističke kontraste. Perast je predstavljen putem stilizovanih silueta arhitekture i obale, čije se forme raščlanjuju u jasne, ritmizovane plohe sivih tonova."	"Savo Vujović; Perast"				
"42.43852631316689, 19.260786575562673"	1215	"Stara varoš"	"Miloš"	"Vušković"	1953	"ulje na kartonu"	"44,5x69"	"JU Muzeji i galerije Podgorice"			"Kompozicija je uravnotežena i prozračna, sa jasnim odnosom svjetla i sjenke, a boje – često u hladnim tonovima plave, sive i zemljane – naglašavaju tišinu i meditativni ugođaj prostora. Perspektiva je diskretna, stvarajući osjećaj intimnog pogleda na gradski ambijent, dok pojednostavljeni volumeni i harmonija tonova grade kontemplativnu, gotovo poetičnu atmosferu."	"U središtu pažnje su kuće i ulice Stare varoši, koje su oblikovane pojednostavljenim oblicima i čistim linijama, dok detalji arhitekture i tekstura služe više kao sugestija nego kao realistički prikaz."	"Miloš Vušković; Podgorica"				
"42.39043742238815, 18.92634012423035"	1250	"Predio sa Cetinja"	"Vera"	"Lubarda"	1950	"ulje na platnu"	"54x73,5"	"NMCG"		"Geoculture"	"Predstava ulice u centru Cetinja, oslikava mirnu atmosferu malog grada sredinom prošlog vijeka. "	"Stilski i koloristički realizovana po uzoru na rane radove njenog profesora Mila Milunovića."	"Vera Lubarda; Cetinje"				
"42.51377194058414, 18.69492627919966"	1251	"Risan"	"Petar"	"Martinović"	1956	"crtež olovkom"	"25,5x35,5"	"NMCG"		"Geoculture"	"Prikaz kuća u priobalju mjesta i brdima koja se uzdižu u pozadini."						
"42.3903694051621, 18.926186352776753"	1252	"Cetinjski krovovi"	"Milo"	"Milunović"	1946	"ulje na platnu"	"97,4x65,4"	"NMCG"		"Geoculture"	"Pogled na gradsku ulicu s visine sa predjelom u pozadini."		"Milo Milunović; Cetinje"				
"42.257837645885424, 18.893773200545358"	1253	"Kuća na Svetom Stefanu "	"Milo"	"Milunović"		"pastel na papiru "	"31x53,5"	"NMCG"		"Geoculture"	"Skoro poput skice sa sumarno definisanim prednjima planom i kućama  zbijenim na lijevoj strani djela."		"Milo Milunović; Sveti Stefan"				
"42.256861,18.892869"	1254	"Sveti Stefan"	"Milo"	"Milunović"		"ulje na platnu"	"90x115"	"NMCG"		"Geoculture"	"Pogled na poluostrvo iz gornjeg rakursa, sa bujnim rastinjem i stazom sa plažom koja ga spaja sa kopnom. Slika predstavlja vjerni prikaz predjela u duhu poetskog realizma a realizovana je u toplom koritu. Kroz formalno redukovane, ali koloritno raskošne kompozicije, Milunović oblikuje prostor koji je istovremeno i univerzalan i označava duboku vezu sa podnebljem iz kojeg je potekao. "	"Djela iz različitih faza njegovog opusa mogu se vidjeti u Narodnom muzeju Crne Gore na Cetinju, u memorijalnoj sobi posvećenoj Milunoviću u okviru stalne postavke Umjetničke galerije."	"Milunović Milo; Sveti Stefan"				
"42.469294928757876, 19.361423135967595"	1255	"Medun Marka Miljanova"	"Milena "	"Šotra"	1972	"ulje na platnu"	"90x120"	"NMCG"		"Geoculture"	"Akcenat je na kamenom ambijentu i arhitektonskoj strukturi utvrđenja, koji se stapaju s okolnim brdovitim pejzažom. Dominatan kolorit je zeleni dok se brdo Medun izdvaja sivim nanosima, naglašavajući dramatičnost kompozicije."	"Na ovom mjestu se nalaze ostaci ilirskog grada Meteona, podignutog tokom III ili IV vijeka pne. Grad je bio utvrđen a imao je i kulu. Tu se nalazi grob Marka Miljanova, crnogorkog književnika i vojvode."	"Milena Šotra; Podgorica"				
"42.20574779800534, 18.940515275688927"	1256	"Petrovac"	"Luka"	"Stanković"	1953	"crtež olovkom"	"27x34"	"NMCG"		"Geoculture"	"Prikaz plaže i figura u prvom planu što je rjetkost na Stankovićevim crtežima, dok se u pozadini naziru obrisi naselja. Predstava je data prilično sumarno, sa rastinjem koje dominira, predstavljajući skoro romantizovanu scenu ovog primorskog mjesta. "		"Luka Stanković; Petrovac"				
"42.450002405508386, 18.53600600197283"	1257	"Zora nad Bokom"	"Đurđe "	"Teodorović"	1951	"ulje na platnu"	"70x91"	"NMCG"		"Geoculture"	"Pogled na zaliv realizovan u kontrastima svjetlih partija vode i tamnih okolnih brda. Kolorit sivo-plavi."		"Đurđe Teodorović"				
"42.27194662778926, 19.11976590245772"	1258	"Lesendro"	"Milentije"	"Živković"	1974	"ulje na platnu"	"50,5x56"	"NMCG"		"Geoculture"	"Pogled na Skadarsko jezero sa uzvišenja iznad Lesendra, sa ostacima kuća. Skoro poentilistički tretirana površina slike u variranju zelenih tonova."						
"42.42844301306198, 18.76852172947604"	1400	"Pogled prema Prčanju i Dobroti u Kotorskom kanalu (Dalmacija, Kotorski okrug)"	"Jakob"	"von Alt"	1846	"hromolitografija"		"Das pittoreske Oesterreich oder Album der österreichischen Monarchie"		"wikimedia"	"Ova hromolitografija Jakoba von Alta nastala je sredinom XIX vijeka i pripada ranoj fazi vizuelnog mapiranja Boke Kotorske u okviru austrijskog kulturnog i geografskog prostora. Prikaz Prčanja i Dobrote kombinuje topografsku preciznost s idealizovanom, gotovo pastoralnom atmosferom: mirna voda, jedrenjaci i figure u prvom planu služe kao mjerilo prostora i svakodnevice."						
"42.09197427084992, 19.132923952382345"	1401	"Antivari"	"Franz"	"Schwenfurth"	1858	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Šire gledano, interesovanje evropske publike za jadransku obalu u 19. vijeku povezano je sa romantičarskim otkrićem pejzaža, ali i sa geopolitičkim i trgovačkim ambicijama velikih carstava. Austrijsko (kasnije austrougarsko) prisustvo na Jadranu, razvoj luka poput Trsta i Kotora, kao i fascinacija “rubnim” prostorima Evrope, učinili su ovaj region čestom temom grafika, albuma i putopisa. Crnogorska obala se tako pojavljuje kao dio šire evropske vizuelne kulture – istovremeno bliska i drugačija, poznata i egzotična."						
"42.27788785990145, 18.836079430289793"	1402	"Budua"	"Franz"	"Zeller"	1859	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Lloyd u Trstu, bio je ilustrovani godišnjak namijenjen širokoj građanskoj publici, u kojem su se obrazovna ambicija i vizuelna privlačnost svjesno povezivale. Oslanjajući se na putopisnu tradiciju i romantičarski pejzaž, publikacija je donosila prizore evropskih i mediteranskih prostora kroz radove jasno potpisanih autora, poput Louisa Gurlitta, Franza Xavera Zellera i njihovih gravera. Prikazi Boke Kotorske, Budve, Herceg Novog ili Kotorske luke oblikovani su tako da, pored topografske prepoznatljivosti, prenesu i atmosferu mjesta kroz odnos pejzaža, svjetla i kompozicije. Trst, kao velika luka i kulturni posrednik između Srednje Evrope i Mediterana, imao je ključnu ulogu u formiranju ovakvog vizuelnog pogleda na jadransku obalu."		"Franz Zeller; Budva"				
